CustomerID,CustomerName,CustomerPhoneNumber,CustomerFaxNumber,CustomerCategory,CustomerBuyingGroup,CustomerCity,CustomerStateProvinceCode,CustomerStateProvince,CustomerCountry,CustomerContinent,CustomerRegion,CustomerSubregion
163,Tailspin Toys (Panaca, NV),(702) 555-0100,(702) 555-0101,Novelty Shop,Tailspin Toys,Panaca,NV,Nevada,United States,North America,Americas,Northern America
164,Tailspin Toys (Rothsville, PA),(215) 555-0100,(215) 555-0101,Novelty Shop,Tailspin Toys,Rothsville,PA,Pennsylvania,United States,North America,Americas,Northern America
165,Tailspin Toys (Topstone, CT),(203) 555-0100,(203) 555-0101,Novelty Shop,Tailspin Toys,Topstone,CT,Connecticut,United States,North America,Americas,Northern America
166,Tailspin Toys (McCamey, TX),(210) 555-0100,(210) 555-0101,Novelty Shop,Tailspin Toys,McCamey,TX,Texas,United States,North America,Americas,Northern America
167,Tailspin Toys (Rockwall, TX),(210) 555-0100,(210) 555-0101,Novelty Shop,Tailspin Toys,Rockwall,TX,Texas,United States,North America,Americas,Northern America
168,Tailspin Toys (Seagraves, TX),(210) 555-0100,(210) 555-0101,Novelty Shop,Tailspin Toys,Seagraves,TX,Texas,United States,North America,Americas,Northern America
169,Tailspin Toys (Sinclair, WY),(307) 555-0100,(307) 555-0101,Novelty Shop,Tailspin Toys,Sinclair,WY,Wyoming,United States,North America,Americas,Northern America
170,Tailspin Toys (Eastchester, NY),(212) 555-0100,(212) 555-0101,Novelty Shop,Tailspin Toys,Eastchester,NY,New York,United States,North America,Americas,Northern America
171,Tailspin Toys (Ortley Beach, NJ),(201) 555-0100,(201) 555-0101,Novelty Shop,Tailspin Toys,Ortley Beach,NJ,New Jersey,United States,North America,Americas,Northern America
172,Tailspin Toys (Madrone, NM),(505) 555-0100,(505) 555-0101,Novelty Shop,Tailspin Toys,Madrone,NM,New Mexico,United States,North America,Americas,Northern America
173,Tailspin Toys (Wappingers Falls, NY),(212) 555-0100,(212) 555-0101,Novelty Shop,Tailspin Toys,Wappingers Falls,NY,New York,United States,North America,Americas,Northern America
174,Tailspin Toys (Astor Park, FL),(239) 555-0100,(239) 555-0101,Novelty Shop,Tailspin Toys,Astor Park,FL,Florida,United States,North America,Americas,Northern America
175,Tailspin Toys (San Acacia, NM),(505) 555-0100,(505) 555-0101,Novelty Shop,Tailspin Toys,San Acacia,NM,New Mexico,United States,North America,Americas,Northern America
176,Tailspin Toys (Malott, WA),(206) 555-0100,(206) 555-0101,Novelty Shop,Tailspin Toys,Malott,WA,Washington,United States,North America,Americas,Northern America
177,Tailspin Toys (Orrtanna, PA),(215) 555-0100,(215) 555-0101,Novelty Shop,Tailspin Toys,Orrtanna,PA,Pennsylvania,United States,North America,Americas,Northern America
178,Tailspin Toys (Armstrong Creek, WI),(262) 555-0100,(262) 555-0101,Novelty Shop,Tailspin Toys,Armstrong Creek,WI,Wisconsin,United States,North America,Americas,Northern America
179,Tailspin Toys (Hiteman, IA),(319) 555-0100,(319) 555-0101,Novelty Shop,Tailspin Toys,Hiteman,IA,Iowa,United States,North America,Americas,Northern America
180,Tailspin Toys (Caselton, NV),(702) 555-0100,(702) 555-0101,Novelty Shop,Tailspin Toys,Caselton,NV,Nevada,United States,North America,Americas,Northern America
181,Tailspin Toys (Heilwood, PA),(215) 555-0100,(215) 555-0101,Novelty Shop,Tailspin Toys,Heilwood,PA,Pennsylvania,United States,North America,Americas,Northern America
182,Tailspin Toys (Hayes Center, NE),(308) 555-0100,(308) 555-0101,Novelty Shop,Tailspin Toys,Hayes Center,NE,Nebraska,United States,North America,Americas,Northern America
183,Tailspin Toys (Tierra Verde, FL),(239) 555-0100,(239) 555-0101,Novelty Shop,Tailspin Toys,Tierra Verde,FL,Florida,United States,North America,Americas,Northern America
184,Tailspin Toys (South Euclid, OH),(216) 555-0100,(216) 555-0101,Novelty Shop,Tailspin Toys,South Euclid,OH,Ohio,United States,North America,Americas,Northern America
185,Tailspin Toys (Vidrine, LA),(225) 555-0100,(225) 555-0101,Novelty Shop,Tailspin Toys,Vidrine,LA,Louisiana,United States,North America,Americas,Northern America
186,Tailspin Toys (Placer, OR),(458) 555-0100,(458) 555-0101,Novelty Shop,Tailspin Toys,Placer,OR,Oregon,United States,North America,Americas,Northern America
187,Tailspin Toys (Brown City, MI),(231) 555-0100,(231) 555-0101,Novelty Shop,Tailspin Toys,Brown City,MI,Michigan,United States,North America,Americas,Northern America
188,Tailspin Toys (Premont, TX),(210) 555-0100,(210) 555-0101,Novelty Shop,Tailspin Toys,Premont,TX,Texas,United States,North America,Americas,Northern America
189,Tailspin Toys (Wilkes-Barre, PA),(215) 555-0100,(215) 555-0101,Novelty Shop,Tailspin Toys,Wilkes-Barre,PA,Pennsylvania,United States,North America,Americas,Northern America
190,Tailspin Toys (Teutopolis, IL),(217) 555-0100,(217) 555-0101,Novelty Shop,Tailspin Toys,Teutopolis,IL,Illinois,United States,North America,Americas,Northern America
191,Tailspin Toys (Orchard Hill, GA),(229) 555-0100,(229) 555-0101,Novelty Shop,Tailspin Toys,Orchard Hill,GA,Georgia,United States,North America,Americas,Northern America
192,Tailspin Toys (Optimo, NM),(505) 555-0100,(505) 555-0101,Novelty Shop,Tailspin Toys,Optimo,NM,New Mexico,United States,North America,Americas,Northern America
193,Tailspin Toys (Knifley, KY),(270) 555-0100,(270) 555-0101,Novelty Shop,Tailspin Toys,Knifley,KY,Kentucky,United States,North America,Americas,Northern America
194,Tailspin Toys (Naples Park, FL),(239) 555-0100,(239) 555-0101,Novelty Shop,Tailspin Toys,Naples Park,FL,Florida,United States,North America,Americas,Northern America
195,Tailspin Toys (Lesslie, SC),(803) 555-0100,(803) 555-0101,Novelty Shop,Tailspin Toys,Lesslie,SC,South Carolina,United States,North America,Americas,Northern America
196,Tailspin Toys (Howells, NE),(308) 555-0100,(308) 555-0101,Novelty Shop,Tailspin Toys,Howells,NE,Nebraska,United States,North America,Americas,Northern America
197,Tailspin Toys (Magalia, CA),(209) 555-0100,(209) 555-0101,Novelty Shop,Tailspin Toys,Magalia,CA,California,United States,North America,Americas,Northern America
198,Tailspin Toys (Buell, MO),(314) 555-0100,(314) 555-0101,Novelty Shop,Tailspin Toys,Buell,MO,Missouri,United States,North America,Americas,Northern America
199,Tailspin Toys (Antonito, CO),(303) 555-0100,(303) 555-0101,Novelty Shop,Tailspin Toys,Antonito,CO,Colorado,United States,North America,Americas,Northern America
200,Tailspin Toys (Tooele, UT),(385) 555-0100,(385) 555-0101,Novelty Shop,Tailspin Toys,Tooele,UT,Utah,United States,North America,Americas,Northern America
201,Tailspin Toys (Skyway, WA),(206) 555-0100,(206) 555-0101,Novelty Shop,Tailspin Toys,Skyway,WA,Washington,United States,North America,Americas,Northern America
401,Wingtip Toys (Head Office),(303) 555-0100,(303) 555-0101,Novelty Shop,Wingtip Toys,Orchard Mesa,CO,Colorado,United States,North America,Americas,Northern America
402,Wingtip Toys (Black Lick, PA),(215) 555-0100,(215) 555-0101,Novelty Shop,Wingtip Toys,Black Lick,PA,Pennsylvania,United States,North America,Americas,Northern America
403,Wingtip Toys (Queen Valley, AZ),(480) 555-0100,(480) 555-0101,Novelty Shop,Wingtip Toys,Queen Valley,AZ,Arizona,United States,North America,Americas,Northern America
404,Wingtip Toys (Penns Creek, PA),(215) 555-0100,(215) 555-0101,Novelty Shop,Wingtip Toys,Penns Creek,PA,Pennsylvania,United States,North America,Americas,Northern America
405,Wingtip Toys (Bourbonnais, IL),(217) 555-0100,(217) 555-0101,Novelty Shop,Wingtip Toys,Bourbonnais,IL,Illinois,United States,North America,Americas,Northern America
406,Wingtip Toys (Tuscaloosa, AL),(205) 555-0100,(205) 555-0101,Novelty Shop,Wingtip Toys,Tuscaloosa,AL,Alabama,United States,North America,Americas,Northern America
407,Wingtip Toys (Mooringsport, LA),(225) 555-0100,(225) 555-0101,Novelty Shop,Wingtip Toys,Mooringsport,LA,Louisiana,United States,North America,Americas,Northern America
408,Wingtip Toys (Rockwall, TX),(210) 555-0100,(210) 555-0101,Novelty Shop,Wingtip Toys,Rockwall,TX,Texas,United States,North America,Americas,Northern America
409,Wingtip Toys (Orick, CA),(209) 555-0100,(209) 555-0101,Novelty Shop,Wingtip Toys,Orick,CA,California,United States,North America,Americas,Northern America
410,Wingtip Toys (Bernstein, TX),(210) 555-0100,(210) 555-0101,Novelty Shop,Wingtip Toys,Bernstein,TX,Texas,United States,North America,Americas,Northern America
411,Wingtip Toys (Edmund, WI),(262) 555-0100,(262) 555-0101,Novelty Shop,Wingtip Toys,Edmund,WI,Wisconsin,United States,North America,Americas,Northern America
412,Wingtip Toys (Bozeman Hot Springs, MT),(406) 555-0100,(406) 555-0101,Novelty Shop,Wingtip Toys,Bozeman Hot Springs,MT,Montana,United States,North America,Americas,Northern America
413,Wingtip Toys (Truscott, TX),(210) 555-0100,(210) 555-0101,Novelty Shop,Wingtip Toys,Truscott,TX,Texas,United States,North America,Americas,Northern America
414,Wingtip Toys (Rose Tree, PA),(215) 555-0100,(215) 555-0101,Novelty Shop,Wingtip Toys,Rose Tree,PA,Pennsylvania,United States,North America,Americas,Northern America
415,Wingtip Toys (Leathersville, GA),(229) 555-0100,(229) 555-0101,Novelty Shop,Wingtip Toys,Leathersville,GA,Georgia,United States,North America,Americas,Northern America
416,Wingtip Toys (Necedah, WI),(262) 555-0100,(262) 555-0101,Novelty Shop,Wingtip Toys,Necedah,WI,Wisconsin,United States,North America,Americas,Northern America
417,Wingtip Toys (Chetek, WI),(262) 555-0100,(262) 555-0101,Novelty Shop,Wingtip Toys,Chetek,WI,Wisconsin,United States,North America,Americas,Northern America
418,Wingtip Toys (Yaak, MT),(406) 555-0100,(406) 555-0101,Novelty Shop,Wingtip Toys,Yaak,MT,Montana,United States,North America,Americas,Northern America
419,Wingtip Toys (Compass Lake, FL),(239) 555-0100,(239) 555-0101,Novelty Shop,Wingtip Toys,Compass Lake,FL,Florida,United States,North America,Americas,Northern America
420,Wingtip Toys (Herlong, CA),(209) 555-0100,(209) 555-0101,Novelty Shop,Wingtip Toys,Herlong,CA,California,United States,North America,Americas,Northern America
421,Wingtip Toys (Highland Home, AL),(205) 555-0100,(205) 555-0101,Novelty Shop,Wingtip Toys,Highland Home,AL,Alabama,United States,North America,Americas,Northern America
422,Wingtip Toys (Naches, WA),(206) 555-0100,(206) 555-0101,Novelty Shop,Wingtip Toys,Naches,WA,Washington,United States,North America,Americas,Northern America
423,Wingtip Toys (Baldwin City, KS),(316) 555-0100,(316) 555-0101,Novelty Shop,Wingtip Toys,Baldwin City,KS,Kansas,United States,North America,Americas,Northern America
424,Wingtip Toys (Heartwell, NE),(308) 555-0100,(308) 555-0101,Novelty Shop,Wingtip Toys,Heartwell,NE,Nebraska,United States,North America,Americas,Northern America
425,Wingtip Toys (Bethel Acres, OK),(405) 555-0100,(405) 555-0101,Novelty Shop,Wingtip Toys,Bethel Acres,OK,Oklahoma,United States,North America,Americas,Northern America
426,Wingtip Toys (Willow Valley, AZ),(480) 555-0100,(480) 555-0101,Novelty Shop,Wingtip Toys,Willow Valley,AZ,Arizona,United States,North America,Americas,Northern America
427,Wingtip Toys (Athol Springs, NY),(212) 555-0100,(212) 555-0101,Novelty Shop,Wingtip Toys,Athol Springs,NY,New York,United States,North America,Americas,Northern America
428,Wingtip Toys (Paw Paw Lake, MI),(231) 555-0100,(231) 555-0101,Novelty Shop,Wingtip Toys,Paw Paw Lake,MI,Michigan,United States,North America,Americas,Northern America
429,Wingtip Toys (Lilbourn, MO),(314) 555-0100,(314) 555-0101,Novelty Shop,Wingtip Toys,Lilbourn,MO,Missouri,United States,North America,Americas,Northern America
430,Wingtip Toys (Lost River, ID),(208) 555-0100,(208) 555-0101,Novelty Shop,Wingtip Toys,Lost River,ID,Idaho,United States,North America,Americas,Northern America
431,Wingtip Toys (Rosa S·nchez, PR),(787) 555-0100,(787) 555-0101,Novelty Shop,Wingtip Toys,Rosa S·nchez,PR,Puerto Rico (US Territory),United States,North America,Americas,Northern America
432,Wingtip Toys (Vamo, FL),(239) 555-0100,(239) 555-0101,Novelty Shop,Wingtip Toys,Vamo,FL,Florida,United States,North America,Americas,Northern America
433,Wingtip Toys (Balko, OK),(405) 555-0100,(405) 555-0101,Novelty Shop,Wingtip Toys,Balko,OK,Oklahoma,United States,North America,Americas,Northern America
434,Wingtip Toys (Lime Lake, NY),(212) 555-0100,(212) 555-0101,Novelty Shop,Wingtip Toys,Lime Lake,NY,New York,United States,North America,Americas,Northern America
435,Wingtip Toys (Teutopolis, IL),(217) 555-0100,(217) 555-0101,Novelty Shop,Wingtip Toys,Teutopolis,IL,Illinois,United States,North America,Americas,Northern America
436,Wingtip Toys (Gargatha, VA),(276) 555-0100,(276) 555-0101,Novelty Shop,Wingtip Toys,Gargatha,VA,Virginia,United States,North America,Americas,Northern America
437,Wingtip Toys (Cadogan, PA),(215) 555-0100,(215) 555-0101,Novelty Shop,Wingtip Toys,Cadogan,PA,Pennsylvania,United States,North America,Americas,Northern America
438,Wingtip Toys (Lucasville, OH),(216) 555-0100,(216) 555-0101,Novelty Shop,Wingtip Toys,Lucasville,OH,Ohio,United States,North America,Americas,Northern America
439,Wingtip Toys (Cylon, WI),(262) 555-0100,(262) 555-0101,Novelty Shop,Wingtip Toys,Cylon,WI,Wisconsin,United States,North America,Americas,Northern America
440,Wingtip Toys (Asher, OK),(405) 555-0100,(405) 555-0101,Novelty Shop,Wingtip Toys,Asher,OK,Oklahoma,United States,North America,Americas,Northern America
441,Wingtip Toys (Keosauqua, IA),(319) 555-0100,(319) 555-0101,Novelty Shop,Wingtip Toys,Keosauqua,IA,Iowa,United States,North America,Americas,Northern America
442,Wingtip Toys (Homer City, PA),(215) 555-0100,(215) 555-0101,Novelty Shop,Wingtip Toys,Homer City,PA,Pennsylvania,United States,North America,Americas,Northern America
443,Wingtip Toys (Berville, MI),(231) 555-0100,(231) 555-0101,Novelty Shop,Wingtip Toys,Berville,MI,Michigan,United States,North America,Americas,Northern America
444,Wingtip Toys (Tea, SD),(605) 555-0100,(605) 555-0101,Novelty Shop,Wingtip Toys,Tea,SD,South Dakota,United States,North America,Americas,Northern America
445,Wingtip Toys (Dacono, CO),(303) 555-0100,(303) 555-0101,Novelty Shop,Wingtip Toys,Dacono,CO,Colorado,United States,North America,Americas,Northern America
446,Wingtip Toys (Saint Landry, LA),(225) 555-0100,(225) 555-0101,Novelty Shop,Wingtip Toys,Saint Landry,LA,Louisiana,United States,North America,Americas,Northern America
447,Wingtip Toys (Coin, IA),(319) 555-0100,(319) 555-0101,Novelty Shop,Wingtip Toys,Coin,IA,Iowa,United States,North America,Americas,Northern America
448,Wingtip Toys (Salt Wells, NV),(702) 555-0100,(702) 555-0101,Novelty Shop,Wingtip Toys,Salt Wells,NV,Nevada,United States,North America,Americas,Northern America
449,Wingtip Toys (Delray, WV),(304) 555-0100,(304) 555-0101,Novelty Shop,Wingtip Toys,Delray,WV,West Virginia,United States,North America,Americas,Northern America
450,Wingtip Toys (Mount Summit, IN),(219) 555-0100,(219) 555-0101,Novelty Shop,Wingtip Toys,Mount Summit,IN,Indiana,United States,North America,Americas,Northern America
451,Wingtip Toys (Smoot, WY),(307) 555-0100,(307) 555-0101,Novelty Shop,Wingtip Toys,Smoot,WY,Wyoming,United States,North America,Americas,Northern America
452,Wingtip Toys (Lake Davis, CA),(209) 555-0100,(209) 555-0101,Novelty Shop,Wingtip Toys,Lake Davis,CA,California,United States,North America,Americas,Northern America
453,Wingtip Toys (Stanardsville, VA),(276) 555-0100,(276) 555-0101,Novelty Shop,Wingtip Toys,Stanardsville,VA,Virginia,United States,North America,Americas,Northern America
454,Wingtip Toys (Corcovado, PR),(787) 555-0100,(787) 555-0101,Novelty Shop,Wingtip Toys,Corcovado,PR,Puerto Rico (US Territory),United States,North America,Americas,Northern America
455,Wingtip Toys (Taft Heights, CA),(209) 555-0100,(209) 555-0101,Novelty Shop,Wingtip Toys,Taft Heights,CA,California,United States,North America,Americas,Northern America
456,Wingtip Toys (West Hempstead, NY),(212) 555-0100,(212) 555-0101,Novelty Shop,Wingtip Toys,West Hempstead,NY,New York,United States,North America,Americas,Northern America
457,Wingtip Toys (Portales, NM),(505) 555-0100,(505) 555-0101,Novelty Shop,Wingtip Toys,Portales,NM,New Mexico,United States,North America,Americas,Northern America
458,Wingtip Toys (Coker, AL),(205) 555-0100,(205) 555-0101,Novelty Shop,Wingtip Toys,Coker,AL,Alabama,United States,North America,Americas,Northern America
459,Wingtip Toys (Haydenville, OH),(216) 555-0100,(216) 555-0101,Novelty Shop,Wingtip Toys,Haydenville,OH,Ohio,United States,North America,Americas,Northern America
460,Wingtip Toys (Mayhill, NM),(505) 555-0100,(505) 555-0101,Novelty Shop,Wingtip Toys,Mayhill,NM,New Mexico,United States,North America,Americas,Northern America
461,Wingtip Toys (Vair, TX),(210) 555-0100,(210) 555-0101,Novelty Shop,Wingtip Toys,Vair,TX,Texas,United States,North America,Americas,Northern America
462,Wingtip Toys (Crossroads, NM),(505) 555-0100,(505) 555-0101,Novelty Shop,Wingtip Toys,Crossroads,NM,New Mexico,United States,North America,Americas,Northern America
463,Wingtip Toys (Cowlington, OK),(405) 555-0100,(405) 555-0101,Novelty Shop,Wingtip Toys,Cowlington,OK,Oklahoma,United States,North America,Americas,Northern America
464,Wingtip Toys (Glen Ullin, ND),(701) 555-0100,(701) 555-0101,Novelty Shop,Wingtip Toys,Glen Ullin,ND,North Dakota,United States,North America,Americas,Northern America
465,Wingtip Toys (Oologah, OK),(405) 555-0100,(405) 555-0101,Novelty Shop,Wingtip Toys,Oologah,OK,Oklahoma,United States,North America,Americas,Northern America
466,Wingtip Toys (Lytle, TX),(210) 555-0100,(210) 555-0101,Novelty Shop,Wingtip Toys,Lytle,TX,Texas,United States,North America,Americas,Northern America
467,Wingtip Toys (Mahaffey, PA),(215) 555-0100,(215) 555-0101,Novelty Shop,Wingtip Toys,Mahaffey,PA,Pennsylvania,United States,North America,Americas,Northern America
468,Wingtip Toys (Sunburg, MN),(218) 555-0100,(218) 555-0101,Novelty Shop,Wingtip Toys,Sunburg,MN,Minnesota,United States,North America,Americas,Northern America
469,Wingtip Toys (Johnetta, KY),(270) 555-0100,(270) 555-0101,Novelty Shop,Wingtip Toys,Johnetta,KY,Kentucky,United States,North America,Americas,Northern America
470,Wingtip Toys (Universal City, TX),(210) 555-0100,(210) 555-0101,Novelty Shop,Wingtip Toys,Universal City,TX,Texas,United States,North America,Americas,Northern America
471,Wingtip Toys (Ridgemark, CA),(209) 555-0100,(209) 555-0101,Novelty Shop,Wingtip Toys,Ridgemark,CA,California,United States,North America,Americas,Northern America
472,Wingtip Toys (San Jacinto, CA),(209) 555-0100,(209) 555-0101,Novelty Shop,Wingtip Toys,San Jacinto,CA,California,United States,North America,Americas,Northern America
473,Wingtip Toys (Floriston, CA),(209) 555-0100,(209) 555-0101,Novelty Shop,Wingtip Toys,Floriston,CA,California,United States,North America,Americas,Northern America
474,Wingtip Toys (Bokeelia, FL),(239) 555-0100,(239) 555-0101,Novelty Shop,Wingtip Toys,Bokeelia,FL,Florida,United States,North America,Americas,Northern America
475,Wingtip Toys (Cale, AR),(479) 555-0100,(479) 555-0101,Novelty Shop,Wingtip Toys,Cale,AR,Arkansas,United States,North America,Americas,Northern America
476,Wingtip Toys (Karthaus, PA),(215) 555-0100,(215) 555-0101,Novelty Shop,Wingtip Toys,Karthaus,PA,Pennsylvania,United States,North America,Americas,Northern America
477,Wingtip Toys (Glancy, MS),(228) 555-0100,(228) 555-0101,Novelty Shop,Wingtip Toys,Glancy,MS,Mississippi,United States,North America,Americas,Northern America
478,Wingtip Toys (Stoneboro, PA),(215) 555-0100,(215) 555-0101,Novelty Shop,Wingtip Toys,Stoneboro,PA,Pennsylvania,United States,North America,Americas,Northern America
479,Wingtip Toys (Mier, IN),(219) 555-0100,(219) 555-0101,Novelty Shop,Wingtip Toys,Mier,IN,Indiana,United States,North America,Americas,Northern America
480,Wingtip Toys (Wapinitia, OR),(458) 555-0100,(458) 555-0101,Novelty Shop,Wingtip Toys,Wapinitia,OR,Oregon,United States,North America,Americas,Northern America
481,Wingtip Toys (White Church, MO),(314) 555-0100,(314) 555-0101,Novelty Shop,Wingtip Toys,White Church,MO,Missouri,United States,North America,Americas,Northern America
482,Wingtip Toys (Caton, NY),(212) 555-0100,(212) 555-0101,Novelty Shop,Wingtip Toys,Caton,NY,New York,United States,North America,Americas,Northern America
483,Wingtip Toys (Plum Branch, SC),(803) 555-0100,(803) 555-0101,Novelty Shop,Wingtip Toys,Plum Branch,SC,South Carolina,United States,North America,Americas,Northern America
484,Wingtip Toys (Mauldin, SC),(803) 555-0100,(803) 555-0101,Novelty Shop,Wingtip Toys,Mauldin,SC,South Carolina,United States,North America,Americas,Northern America
485,Wingtip Toys (Bonner Springs, KS),(316) 555-0100,(316) 555-0101,Novelty Shop,Wingtip Toys,Bonner Springs,KS,Kansas,United States,North America,Americas,Northern America
486,Wingtip Toys (Lowellville, OH),(216) 555-0100,(216) 555-0101,Novelty Shop,Wingtip Toys,Lowellville,OH,Ohio,United States,North America,Americas,Northern America
487,Wingtip Toys (Elverson, PA),(215) 555-0100,(215) 555-0101,Novelty Shop,Wingtip Toys,Elverson,PA,Pennsylvania,United States,North America,Americas,Northern America
488,Wingtip Toys (Isabela, PR),(787) 555-0100,(787) 555-0101,Novelty Shop,Wingtip Toys,Isabela,PR,Puerto Rico (US Territory),United States,North America,Americas,Northern America
489,Wingtip Toys (Sayner, WI),(262) 555-0100,(262) 555-0101,Novelty Shop,Wingtip Toys,Sayner,WI,Wisconsin,United States,North America,Americas,Northern America
490,Wingtip Toys (Beals, ME),(207) 555-0100,(207) 555-0101,Novelty Shop,Wingtip Toys,Beals,ME,Maine,United States,North America,Americas,Northern America
491,Wingtip Toys (Morton Grove, IL),(217) 555-0100,(217) 555-0101,Novelty Shop,Wingtip Toys,Morton Grove,IL,Illinois,United States,North America,Americas,Northern America
492,Wingtip Toys (Birds, IL),(217) 555-0100,(217) 555-0101,Novelty Shop,Wingtip Toys,Birds,IL,Illinois,United States,North America,Americas,Northern America
493,Wingtip Toys (Federalsburg, MD),(240) 555-0100,(240) 555-0101,Novelty Shop,Wingtip Toys,Federalsburg,MD,Maryland,United States,North America,Americas,Northern America
494,Wingtip Toys (Pikeview, CO),(303) 555-0100,(303) 555-0101,Novelty Shop,Wingtip Toys,Pikeview,CO,Colorado,United States,North America,Americas,Northern America
495,Wingtip Toys (Boalsburg, PA),(215) 555-0100,(215) 555-0101,Novelty Shop,Wingtip Toys,Boalsburg,PA,Pennsylvania,United States,North America,Americas,Northern America
496,Wingtip Toys (Port Hueneme, CA),(209) 555-0100,(209) 555-0101,Novelty Shop,Wingtip Toys,Port Hueneme,CA,California,United States,North America,Americas,Northern America
497,Wingtip Toys (Verdery, SC),(803) 555-0100,(803) 555-0101,Novelty Shop,Wingtip Toys,Verdery,SC,South Carolina,United States,North America,Americas,Northern America
498,Wingtip Toys (Obetz, OH),(216) 555-0100,(216) 555-0101,Novelty Shop,Wingtip Toys,Obetz,OH,Ohio,United States,North America,Americas,Northern America
499,Wingtip Toys (East Fultonham, OH),(216) 555-0100,(216) 555-0101,Novelty Shop,Wingtip Toys,East Fultonham,OH,Ohio,United States,North America,Americas,Northern America
500,Wingtip Toys (Obion, TN),(423) 555-0100,(423) 555-0101,Novelty Shop,Wingtip Toys,Obion,TN,Tennessee,United States,North America,Americas,Northern America
501,Wingtip Toys (Cavendish, VT),(802) 555-0100,(802) 555-0101,Novelty Shop,Wingtip Toys,Cavendish,VT,Vermont,United States,North America,Americas,Northern America
502,Wingtip Toys (Miesville, MN),(218) 555-0100,(218) 555-0101,Novelty Shop,Wingtip Toys,Miesville,MN,Minnesota,United States,North America,Americas,Northern America
503,Wingtip Toys (Valhalla, NC),(252) 555-0100,(252) 555-0101,Novelty Shop,Wingtip Toys,Valhalla,NC,North Carolina,United States,North America,Americas,Northern America
504,Wingtip Toys (Cape Neddick, ME),(207) 555-0100,(207) 555-0101,Novelty Shop,Wingtip Toys,Cape Neddick,ME,Maine,United States,North America,Americas,Northern America
505,Wingtip Toys (Silver Plume, CO),(303) 555-0100,(303) 555-0101,Novelty Shop,Wingtip Toys,Silver Plume,CO,Colorado,United States,North America,Americas,Northern America
506,Wingtip Toys (North Beach Haven, NJ),(201) 555-0100,(201) 555-0101,Novelty Shop,Wingtip Toys,North Beach Haven,NJ,New Jersey,United States,North America,Americas,Northern America
507,Wingtip Toys (Downingtown, PA),(215) 555-0100,(215) 555-0101,Novelty Shop,Wingtip Toys,Downingtown,PA,Pennsylvania,United States,North America,Americas,Northern America
508,Wingtip Toys (Branson West, MO),(314) 555-0100,(314) 555-0101,Novelty Shop,Wingtip Toys,Branson West,MO,Missouri,United States,North America,Americas,Northern America
509,Wingtip Toys (Bergen Park, CO),(303) 555-0100,(303) 555-0101,Novelty Shop,Wingtip Toys,Bergen Park,CO,Colorado,United States,North America,Americas,Northern America
510,Wingtip Toys (Grabill, IN),(219) 555-0100,(219) 555-0101,Novelty Shop,Wingtip Toys,Grabill,IN,Indiana,United States,North America,Americas,Northern America
511,Wingtip Toys (North Manitou, MI),(231) 555-0100,(231) 555-0101,Novelty Shop,Wingtip Toys,North Manitou,MI,Michigan,United States,North America,Americas,Northern America
512,Wingtip Toys (Philip, SD),(605) 555-0100,(605) 555-0101,Novelty Shop,Wingtip Toys,Philip,SD,South Dakota,United States,North America,Americas,Northern America
513,Wingtip Toys (Straughn, IN),(219) 555-0100,(219) 555-0101,Novelty Shop,Wingtip Toys,Straughn,IN,Indiana,United States,North America,Americas,Northern America
514,Wingtip Toys (Gilford, NH),(603) 555-0100,(603) 555-0101,Novelty Shop,Wingtip Toys,Gilford,NH,New Hampshire,United States,North America,Americas,Northern America
515,Wingtip Toys (Del Valle, TX),(210) 555-0100,(210) 555-0101,Novelty Shop,Wingtip Toys,Del Valle,TX,Texas,United States,North America,Americas,Northern America
516,Wingtip Toys (Harkers Island, NC),(252) 555-0100,(252) 555-0101,Novelty Shop,Wingtip Toys,Harkers Island,NC,North Carolina,United States,North America,Americas,Northern America
517,Wingtip Toys (Licking, MO),(314) 555-0100,(314) 555-0101,Novelty Shop,Wingtip Toys,Licking,MO,Missouri,United States,North America,Americas,Northern America
518,Wingtip Toys (Raton, NM),(505) 555-0100,(505) 555-0101,Novelty Shop,Wingtip Toys,Raton,NM,New Mexico,United States,North America,Americas,Northern America
519,Wingtip Toys (Boynton, OK),(405) 555-0100,(405) 555-0101,Novelty Shop,Wingtip Toys,Boynton,OK,Oklahoma,United States,North America,Americas,Northern America
520,Wingtip Toys (Frenchburg, KY),(270) 555-0100,(270) 555-0101,Novelty Shop,Wingtip Toys,Frenchburg,KY,Kentucky,United States,North America,Americas,Northern America
521,Wingtip Toys (Robertsdale, AL),(205) 555-0100,(205) 555-0101,Novelty Shop,Wingtip Toys,Robertsdale,AL,Alabama,United States,North America,Americas,Northern America
522,Wingtip Toys (Dickerson, MD),(240) 555-0100,(240) 555-0101,Novelty Shop,Wingtip Toys,Dickerson,MD,Maryland,United States,North America,Americas,Northern America
523,Wingtip Toys (Bruceton Mills, WV),(304) 555-0100,(304) 555-0101,Novelty Shop,Wingtip Toys,Bruceton Mills,WV,West Virginia,United States,North America,Americas,Northern America
524,Wingtip Toys (Cloquet, MN),(218) 555-0100,(218) 555-0101,Novelty Shop,Wingtip Toys,Cloquet,MN,Minnesota,United States,North America,Americas,Northern America
525,Wingtip Toys (Claycomo, MO),(314) 555-0100,(314) 555-0101,Novelty Shop,Wingtip Toys,Claycomo,MO,Missouri,United States,North America,Americas,Northern America
